初始储电量S_1(kWh),扫描层级,最优购电费用J(s)(元),相对全局最优额外费用E(s)(元),是否达到全局最优费用,求解状态,求解器状态码,求解器信息,迭代次数,实际初始储电量(kWh),实际日末储电量(kWh),全天购电量(kWh),全天充电量(kWh),全天放电量(kWh),逐时段能量平衡最大误差(kWh),储电递推最大误差(kWh),日循环误差(kWh),最大越界量(kWh),原始与对偶目标差(元),同时充放电时段数
7625,局部细扫,35121.04858928962,2.4500000000043656,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),371,7625.0,7625.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
7650,局部细扫,35120.96525595629,2.366666666675883,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),374,7650.0,7650.0,59482.69899835391,20740.66613168724,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
7675,局部细扫,35120.88192262295,2.2833333333401242,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),375,7675.0,7675.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
7700,局部细扫,35120.79858928962,2.2000000000043656,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),374,7700.0,7700.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
7725,局部细扫,35120.71525595629,2.116666666675883,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),371,7725.0,7725.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
7750,局部细扫,35120.63192262295,2.0333333333401242,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),371,7750.0,7750.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
7775,局部细扫,35120.54858928962,1.9500000000043656,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),371,7775.0,7775.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
7800,粗扫与细扫重合,35120.46525595629,1.8666666666758829,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),371,7800.0,7800.0,59482.69899835391,20740.66613168724,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
7825,局部细扫,35120.387478178505,1.788888888891961,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),373,7825.0,7825.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.1827872842550278e-11,0
7850,局部细扫,35120.30970040073,1.711111111115315,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),373,7850.0,7850.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.1827872842550278e-11,0
7875,局部细扫,35120.23192262295,1.633333333338669,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),373,7875.0,7875.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
7900,局部细扫,35120.154144845175,1.555555555562023,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),374,7900.0,7900.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
7925,局部细扫,35120.0763670674,1.4777777777853771,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),374,7925.0,7925.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
7950,局部细扫,35119.998589289615,1.4000000000014552,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),374,7950.0,7950.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
7975,局部细扫,35119.94025595628,1.3416666666671517,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),374,7975.0,7975.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
8000,粗扫与细扫重合,35119.88192262295,1.2833333333401242,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),374,8000.0,8000.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
8025,局部细扫,35119.82358928962,1.2250000000058208,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,8025.0,8025.0,59482.69899835391,20740.66613168724,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
8050,局部细扫,35119.765255956285,1.1666666666715173,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),378,8050.0,8050.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
8075,局部细扫,35119.70692262295,1.1083333333372138,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),378,8075.0,8075.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,0.0,0
8100,局部细扫,35119.648589289616,1.0500000000029104,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),378,8100.0,8100.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
8125,局部细扫,35119.59025595628,0.9916666666686069,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),380,8125.0,8125.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,0.0,0
8150,局部细扫,35119.53192262295,0.9333333333343035,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),380,8150.0,8150.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
8175,局部细扫,35119.47358928961,0.875,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),380,8175.0,8175.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
8200,粗扫与细扫重合,35119.415255956286,0.8166666666729725,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),380,8200.0,8200.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,7.275957614183426e-12,0
8225,局部细扫,35119.35692262295,0.758333333338669,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),380,8225.0,8225.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
8250,局部细扫,35119.29858928962,0.7000000000043656,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),380,8250.0,8250.0,59482.69899835391,20740.66613168724,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
8275,局部细扫,35119.24025595628,0.6416666666700621,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),380,8275.0,8275.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
