初始储电量S_1(kWh),扫描层级,最优购电费用J(s)(元),相对全局最优额外费用E(s)(元),是否达到全局最优费用,求解状态,求解器状态码,求解器信息,迭代次数,实际初始储电量(kWh),实际日末储电量(kWh),全天购电量(kWh),全天充电量(kWh),全天放电量(kWh),逐时段能量平衡最大误差(kWh),储电递推最大误差(kWh),日循环误差(kWh),最大越界量(kWh),原始与对偶目标差(元),同时充放电时段数
8825,局部细扫,35118.918033734066,0.31944444445252884,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),374,8825.0,8825.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.1827872842550278e-11,0
8850,局部细扫,35118.98192262295,0.38333333333866904,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),374,8850.0,8850.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
8875,局部细扫,35119.04581151184,0.44722222222480923,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),374,8875.0,8875.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.9103830456733704e-11,0
8900,局部细扫,35119.10970040073,0.5111111111182254,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),374,8900.0,8900.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.1827872842550278e-11,0
8925,局部细扫,35119.17358928962,0.5750000000043656,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),374,8925.0,8925.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
8950,局部细扫,35119.23747817851,0.6388888888977817,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),376,8950.0,8950.0,59482.69899835391,20740.66613168724,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.1827872842550278e-11,0
8975,局部细扫,35119.3013670674,0.7027777777839219,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),376,8975.0,8975.0,59482.69899835391,20740.66613168724,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
9000,粗扫与细扫重合,35119.365255956276,0.7666666666627862,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),376,9000.0,9000.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
9025,局部细扫,35119.42914484517,0.8305555555562023,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),376,9025.0,9025.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,2.1827872842550278e-11,0
9050,局部细扫,35119.493033734056,0.8944444444423425,否,最优,0,Optimization terminated successfully. (HiGHS Status 7: Optimal),377,9050.0,9050.0,59482.69899835391,20740.666131687245,16799.939566666668,2.2737367544323206e-13,8.313350008393172e-13,0.0,0.0,1.4551915228366852e-11,0
