date,history_date,kernel_weight,equal_weight,adopted_weight
2025-01-24,2025-01-04,0.040200393470129395,0.050000000000000003,0.040200393470129395
2025-01-24,2025-01-05,0.0022632851501172618,0.050000000000000003,0.0022632851501172618
2025-01-24,2025-01-06,0.0022665896776417399,0.050000000000000003,0.0022665896776417399
2025-01-24,2025-01-07,0.039485112623002278,0.050000000000000003,0.039485112623002278
2025-01-24,2025-01-08,0.094947800484203634,0.050000000000000003,0.094947800484203634
2025-01-24,2025-01-09,0.095144109207381242,0.050000000000000003,0.095144109207381242
2025-01-24,2025-01-10,0.095104176873498397,0.050000000000000003,0.095104176873498397
2025-01-24,2025-01-11,0.037628839688590654,0.050000000000000003,0.037628839688590654
2025-01-24,2025-01-12,0.0020286556290825949,0.050000000000000003,0.0020286556290825949
2025-01-24,2025-01-13,0.001934177489857458,0.050000000000000003,0.001934177489857458
2025-01-24,2025-01-14,0.037405420238021375,0.050000000000000003,0.037405420238021375
2025-01-24,2025-01-15,0.095118230318464933,0.050000000000000003,0.095118230318464933
2025-01-24,2025-01-16,0.095033444867226841,0.050000000000000003,0.095033444867226841
2025-01-24,2025-01-17,0.095068539305599206,0.050000000000000003,0.095068539305599206
2025-01-24,2025-01-18,0.036668762108380347,0.050000000000000003,0.036668762108380347
2025-01-24,2025-01-19,0.0018150595821188721,0.050000000000000003,0.0018150595821188721
2025-01-24,2025-01-20,0.001721754966322197,0.050000000000000003,0.001721754966322197
2025-01-24,2025-01-21,0.035623906481781424,0.050000000000000003,0.035623906481781424
2025-01-24,2025-01-22,0.095270342628697074,0.050000000000000003,0.095270342628697074
2025-01-24,2025-01-23,0.095271399209883159,0.050000000000000003,0.095271399209883159
2025-01-25,2025-01-04,0.089670730318608186,0.050000000000000003,0.089670730318608186
2025-01-25,2025-01-05,0.038083338103147978,0.050000000000000003,0.038083338103147978
2025-01-25,2025-01-06,0.03811002319901205,0.050000000000000003,0.03811002319901205
2025-01-25,2025-01-07,0.089794301501509396,0.050000000000000003,0.089794301501509396
2025-01-25,2025-01-08,0.029084342741041793,0.050000000000000003,0.029084342741041793
2025-01-25,2025-01-09,0.030441535143933478,0.050000000000000003,0.030441535143933478
2025-01-25,2025-01-10,0.030105503299659261,0.050000000000000003,0.030105503299659261
2025-01-25,2025-01-11,0.090040832547658073,0.050000000000000003,0.090040832547658073
2025-01-25,2025-01-12,0.036118939782355586,0.050000000000000003,0.036118939782355586
2025-01-25,2025-01-13,0.035286074524273882,0.050000000000000003,0.035286074524273882
2025-01-25,2025-01-14,0.090063030706334007,0.050000000000000003,0.090063030706334007
2025-01-25,2025-01-15,0.030218507731766233,0.050000000000000003,0.030218507731766233
2025-01-25,2025-01-16,0.029599962255850217,0.050000000000000003,0.029599962255850217
2025-01-25,2025-01-17,0.029839267905431132,0.050000000000000003,0.029839267905431132
2025-01-25,2025-01-18,0.090124425577505565,0.050000000000000003,0.090124425577505565
2025-01-25,2025-01-19,0.034197906113554437,0.050000000000000003,0.034197906113554437
2025-01-25,2025-01-20,0.03331345897985552,0.050000000000000003,0.03331345897985552
2025-01-25,2025-01-21,0.090179608705856493,0.050000000000000003,0.090179608705856493
2025-01-25,2025-01-22,0.033206776127007495,0.050000000000000003,0.033206776127007495
2025-01-25,2025-01-23,0.032521434735639121,0.050000000000000003,0.032521434735639121
2025-01-26,2025-01-04,0.037482990195394798,0.050000000000000003,0.037482990195394798
2025-01-26,2025-01-05,0.12353853345593359,0.050000000000000003,0.12353853345593359
2025-01-26,2025-01-06,0.12353004448196572,0.050000000000000003,0.12353004448196572
2025-01-26,2025-01-07,0.038277629696625168,0.050000000000000003,0.038277629696625168
