round,h,mean_es,mean_k_eff,min_k_eff,max_k_eff,selected
uniform_limit,inf,8411.467321565884,19.999999999999993,19.999999999999993,19.999999999999993,False
coarse_0,0.050000000000000003,8533.6152152975483,5.3594817912328274,4.0629316555635731,7.2538704665628257,False
coarse_0,0.064178442105625802,8301.4182380495458,6.2013402500768953,4.896655282920733,7.710499309270376,False
coarse_0,0.082377448622103278,8195.8335147056441,6.6585498946801795,5.4774177628167413,7.8916547179846885,False
coarse_0,0.1057371263440564,8147.800781871636,6.8646659032882873,5.7812377702497377,7.9599399694356912,False
coarse_0,0.13572088082974532,8125.0886086147166,6.9483849238410293,5.9142483458632915,7.9852411212735044,False
coarse_0,0.17420709385712702,8113.7627794552964,6.98066713521201,5.9674322149798638,7.9945669162889859,False
coarse_0,0.22360679774997896,8107.8020884705556,6.9928448042425426,5.987815511041723,7.9980224625365564,False
coarse_0,0.28701471847642812,8103.6664956393088,7.0014056426741877,5.9961161835266283,8.0031673347970891,False
coarse_0,0.36840314986403866,8084.5295582642575,7.0950944488950451,6.0284556766000374,8.1177173238398179,False
coarse_0,0.47287080450158792,7993.6901607828095,7.6919208936739025,6.3139043235387708,8.7174063156368593,False
coarse_0,0.60696223100291724,7838.9008362168761,9.332985495271096,7.3012296200351878,10.087008143667605,False
coarse_0,0.77907780805444404,7740.509167910307,11.724680967728155,9.0504520529814112,14.323402820177561,False
coarse_0,1,7756.5986416579926,14.073676602514368,11.328687591617378,17.534846317653273,False
coarse_0,1.2835688421125162,7864.445639093713,16.219196337140801,14.106983482933192,19.068147637999246,False
coarse_0,1.6475489724420658,8005.7032836867265,17.975048654256859,16.761187357915155,19.662424827836134,False
coarse_0,2.1147425268811282,8133.5830665231451,19.076514878999632,18.520215885865937,19.878355213072901,False
coarse_0,2.7144176165949068,8230.3041758107847,19.620104132129981,19.395849978431801,19.955967876398393,False
coarse_0,3.4841418771425405,8296.7572385221629,19.852021987974794,19.766677427941342,19.983974583741887,False
coarse_0,4.4721359549995796,8340.0685264319436,19.943893202050553,19.912130053799803,19.994142711510253,False
coarse_0,5.7402943695285629,8367.4734966491596,19.979009161691348,19.967279232249464,19.997852902232395,False
coarse_0,7.3680629972807736,8384.5218804069737,19.992200467235364,19.987878995050629,19.999211450104767,False
coarse_0,9.4574160900317583,8395.0228773633626,19.997112537925613,19.995521320809193,19.999710049008367,False
coarse_0,12.139244620058346,8401.4531432070362,19.998933207057597,19.998347299542147,19.999893305654162,False
coarse_0,15.581556161088884,8405.3769242000326,19.999606324631703,19.999390557889541,19.999960721416087,False
coarse_0,20,8407.7661963680257,19.999854821993011,19.999775353666635,19.99998553591006,False
fine_1,0.60696223100291724,7838.9008362168761,9.332985495271096,7.3012296200351878,10.087008143667605,False
fine_1,0.62620144173136405,7821.2907913990548,9.6092813791213345,7.484205406737428,10.567096437785086,False
fine_1,0.64605048814734933,7804.9214760625009,9.8963030292965293,7.678966953565638,11.092469999316748,False
fine_1,0.66652870054311042,7789.9690476900887,10.191883166369205,7.8846892692160653,11.63175049665228,False
fine_1,0.68765602193363218,7776.5773559657055,10.493811287248482,8.100522496822391,12.178869844848769,False
fine_1,0.70945302747845151,7764.860361861216,10.799933763739817,8.3256542532155748,12.72757623656871,False
fine_1,0.73194094451908676,7754.9050318558484,11.10824900055608,8.5593687670128205,13.271698709904808,False
fine_1,0.7551416732516022,7746.7742136229263,11.416989119785256,8.8010969505998329,13.805400988208184,False
fine_1,0.77907780805444415,7740.509167910307,11.724680967728156,9.050452052981413,14.323402820177566,False
fine_1,0.80377265949231524,7736.1315974084591,12.030181581496734,9.3072467665429635,14.821151997179657,False
fine_1,0.82925027701751908,7733.6451544414176,12.332686191109334,9.5714894545694449,15.294937231802253,False
fine_1,0.85553547239088035,7733.0365123478587,12.631709857520377,9.8433592784444368,15.741939679196035,False
fine_1,0.88265384384505119,7734.2761462029903,12.92704648070897,10.123162134939575,16.160227681558645,False
fine_1,0.9106318010137352,7737.318989786485,13.218710812694471,10.411271180100103,16.548704330325304,False
fine_1,0.93949659065110569,7742.1051249160164,13.506870121435419,10.708057100806569,16.907020236211103,False
fine_1,0.96927632316646717,7748.5606264298112,13.791772294862827,11.013814081893949,17.235464558488395,False
fine_1,1,7756.5986416579926,14.073676602514368,11.328687591617378,17.534846317653273,False
fine_2,0.82925027701751908,7733.6451544414176,12.332686191109334,9.5714894545694449,15.294937231802253,False
fine_2,0.83249124472257452,7733.4668345016116,12.370261211447055,9.6050508017483374,15.352325232083723,False
fine_2,0.83574487913628992,7733.3178317927086,12.407780865761923,9.6387316726903229,15.409289091305173,False
fine_2,0.83901122976409792,7733.1980982359764,12.445244605244337,9.6725326121768962,15.465824512126039,False
fine_2,0.84229034630491373,7733.1075818425579,12.482651946571407,9.7064541931876978,15.521927413360757,False
fine_2,0.84558227865189139,7733.0462267327948,12.520002470177772,9.7404970151310302,15.577593928543251,False
fine_2,0.84888707689318288,7733.0139731553827,12.557295818470138,9.7746617020212945,15.632820404326514,False
fine_2,0.85220479131270011,7733.0107575063203,12.594531693988941,9.8089489006059267,15.687603398723589,False
fine_2,0.85553547239088035,7733.0365123478587,12.631709857520377,9.8433592784444368,15.741939679196035,False
fine_2,0.85887917080545384,7733.0911664274299,12.668830126162092,9.8778935219420365,15.795826220596426,False
fine_2,0.86223593743221549,7733.1746446966599,12.705892371346025,9.9125523343408624,15.849260202971053,False
fine_2,0.86560582334579828,7733.2868683305533,12.74289651682157,9.9473364336711185,15.902239009229522,False
fine_2,0.86898887982045092,7733.4277547468873,12.779842536602603,9.9822465506653639,15.954760222687424,False
fine_2,0.87238515833081787,7733.5972176259284,12.816730452881616,10.01728342663845,16.006821624488818,False
fine_2,0.87579471055272207,7733.7951669304539,12.853560333914377,10.052447811336194,16.058421190914913,False
fine_2,0.87921758836395225,7734.0215089262365,12.890332291878472,10.087740460755599,16.109557090585358,False
fine_2,0.88265384384505119,7734.2761462029903,12.92704648070897,10.123162134939575,16.160227681558645,False
fine_3,0.84888707689318288,7733.0139731553827,12.557295818470138,9.7746617020212945,15.632820404326514,False
fine_3,0.84930108380877478,7733.0119845337649,12.561953451410147,9.7789408884880196,15.639692599812063,False
fine_3,0.84971529263782597,7733.0104495062478,12.56661018574734,9.7832219904602677,15.646557859140882,False
fine_3,0.85012970347881056,7733.0093679434431,12.57126602097982,9.7875050092300402,15.653416175872534,False
fine_3,0.85054431643025097,7733.0087397150328,12.575920956619782,9.7917899460943012,15.660267543617515,False
fine_3,0.85095913159071768,7733.0085646897714,12.580574992193483,9.7960768023549143,15.667111956037322,True
fine_3,0.85137414905882902,7733.008842735464,12.585228127241155,9.8003655793186084,15.673949406844331,False
fine_3,0.85178936893325163,7733.0095737189986,12.589880361316965,9.8046562782968731,15.680779889801759,False
fine_3,0.85220479131270011,7733.0107575063203,12.594531693988941,9.8089489006059267,15.687603398723589,False
fine_3,0.85262041629593732,7733.0123939624482,12.599182124838936,9.8132434475666646,15.694419927474508,False
fine_3,0.85303624398177436,7733.0144829514675,12.603831653462539,9.8175399205045704,15.701229469969828,False
fine_3,0.85345227446907013,7733.0170243365292,12.608480279469021,9.8218383207496629,15.708032020175439,False
fine_3,0.8538685078567323,7733.0200179798649,12.613128002481311,9.8261386496364764,15.714827572107755,False
fine_3,0.85428494424371637,7733.0234637427629,12.61777482213588,9.8304409085039239,15.721616119833609,False
fine_3,0.85470158372902616,7733.0273614855923,12.622420738082718,9.8347450986953007,15.728397657470216,False
fine_3,0.85511842641171409,7733.031711067787,12.627065749985277,9.8390512215581971,15.735172179185108,False
fine_3,0.85553547239088035,7733.0365123478587,12.631709857520377,9.8433592784444368,15.741939679196035,False
