question,configuration,month,t,interval_start,mean_GF_minus_G0_kwh
3,B,3,2,00:10,0.0
3,B,3,3,00:20,0.0
3,B,3,4,00:30,0.0
3,B,3,5,00:40,0.0
3,B,3,6,00:50,0.0
3,B,3,7,01:00,0.0
3,B,3,8,01:10,0.0
3,B,3,9,01:20,0.0
3,B,3,10,01:30,0.0
3,B,3,11,01:40,0.0
3,B,3,12,01:50,0.0
3,B,3,13,02:00,0.0
3,B,3,14,02:10,0.0
3,B,3,15,02:20,0.0
3,B,3,16,02:30,0.0
3,B,3,17,02:40,0.0
3,B,3,18,02:50,0.0
3,B,3,19,03:00,0.0
3,B,3,20,03:10,0.0
3,B,3,21,03:20,0.0
3,B,3,22,03:30,0.0
3,B,3,23,03:40,0.0
3,B,3,24,03:50,0.0
3,B,3,25,04:00,0.0
3,B,3,26,04:10,0.0
3,B,3,27,04:20,0.0
3,B,3,28,04:30,0.0
3,B,3,29,04:40,0.0
3,B,3,30,04:50,0.0
3,B,3,31,05:00,0.0
3,B,3,32,05:10,0.0
3,B,3,33,05:20,0.0
3,B,3,34,05:30,0.0
3,B,3,35,05:40,0.0
3,B,3,36,05:50,0.0
3,B,3,37,06:00,0.6443230967741931
3,B,3,38,06:10,53.03760093548386
3,B,3,39,06:20,0.9137372580645158
3,B,3,40,06:30,33.07170996774193
3,B,3,41,06:40,57.11414035483872
3,B,3,42,06:50,53.37084719354839
3,B,3,43,07:00,68.16486145161291
3,B,3,44,07:10,71.15240451612902
3,B,3,45,07:20,80.05253377419356
3,B,3,46,07:30,189.33488606451618
3,B,3,47,07:40,63.7367494516129
3,B,3,48,07:50,3.0462591290322583
3,B,3,49,08:00,2.851970612903226
3,B,3,50,08:10,0.24057106451612906
3,B,3,51,08:20,0.0
3,B,3,52,08:30,0.0
3,B,3,53,08:40,0.0
3,B,3,54,08:50,0.0
3,B,3,55,09:00,0.0
3,B,3,56,09:10,0.0
3,B,3,57,09:20,6.173845225806452
3,B,3,58,09:30,6.191385999999999
3,B,3,59,09:40,4.502894290322581
3,B,3,60,09:50,0.0
3,B,3,61,10:00,0.0
3,B,3,62,10:10,0.14968890322580644
3,B,3,63,10:20,0.0
3,B,3,64,10:30,0.0
3,B,3,65,10:40,-16.770536516129035
3,B,3,66,10:50,-60.120420483870966
3,B,3,67,11:00,27.558446548387096
3,B,3,68,11:10,-103.33415351612902
3,B,3,69,11:20,-58.93575567741935
3,B,3,70,11:30,8.283247870967744
3,B,3,71,11:40,63.08519096774193
3,B,3,72,11:50,37.709223419354835
3,B,3,73,12:00,16.649892903225812
3,B,3,74,12:10,-39.167073193548376
3,B,3,75,12:20,2.8713181612903216
3,B,3,76,12:30,6.897100838709669
3,B,3,77,12:40,93.23296929032257
3,B,3,78,12:50,-21.035675612903226
3,B,3,79,13:00,-22.497134161290322
3,B,3,80,13:10,-20.111704096774197
3,B,3,81,13:20,-19.376485258064516
3,B,3,82,13:30,-25.48750658064516
3,B,3,83,13:40,-14.675089677419354
3,B,3,84,13:50,0.0
3,B,3,85,14:00,0.0
3,B,3,86,14:10,0.0
3,B,3,87,14:20,0.0
3,B,3,88,14:30,0.0
3,B,3,89,14:40,0.0
3,B,3,90,14:50,77.81615212903225
3,B,3,91,15:00,100.3156504516129
3,B,3,92,15:10,-2.9590594838709676
3,B,3,93,15:20,-33.34239903225805
3,B,3,94,15:30,7.964045322580649
3,B,3,95,15:40,30.092917548387092
3,B,3,96,15:50,1.0710982580645245
3,B,3,97,16:00,11.039028419354842
3,B,3,98,16:10,26.768008935483863
3,B,3,99,16:20,35.99684335483872
3,B,3,100,16:30,36.08461119354837
3,B,3,101,16:40,28.034139064516122
3,B,3,102,16:50,35.820488258064515
3,B,3,103,17:00,26.17020080645161
3,B,3,104,17:10,10.334873129032266
3,B,3,105,17:20,2.0868457096774256
3,B,3,106,17:30,9.923133999999996
3,B,3,107,17:40,-12.894401838709676
3,B,3,108,17:50,-0.5945581935483893
3,B,3,109,18:00,-97.7886508064516
3,B,3,110,18:10,-38.72387732258064
3,B,3,111,18:20,-39.06857106451613
3,B,3,112,18:30,-44.71698712903226
3,B,3,113,18:40,-67.8291635483871
3,B,3,114,18:50,0.0
3,B,3,115,19:00,0.0
3,B,3,116,19:10,0.0
3,B,3,117,19:20,0.0
3,B,3,118,19:30,0.0
3,B,3,119,19:40,0.0
3,B,3,120,19:50,0.0
3,B,3,121,20:00,0.0
3,B,3,122,20:10,-5.511849451612903
3,B,3,123,20:20,-0.19037635483870968
3,B,3,124,20:30,0.0
3,B,3,125,20:40,-18.305929096774197
3,B,3,126,20:50,-32.7557989032258
3,B,3,127,21:00,-31.0409703548387
3,B,3,128,21:10,-56.20759222580645
3,B,3,129,21:20,-53.899630967741935
3,B,3,130,21:30,-92.8895224516129
3,B,3,131,21:40,-19.14158332258066
3,B,3,132,21:50,-72.98103632258065
3,B,3,133,22:00,-73.84231764516127
3,B,3,134,22:10,-12.279899709677427
3,B,3,135,22:20,-76.67507745161294
3,B,3,136,22:30,-70.68275083870967
3,B,3,137,22:40,-220.80406432258067
3,B,3,138,22:50,-97.63512600000001
3,B,3,139,23:00,-293.12288651612903
3,B,3,140,23:10,-149.59495922580643
3,B,3,141,23:20,-48.060571064516154
3,B,3,142,23:30,-65.78035583870967
3,B,3,143,23:40,-7.2944345161290345
3,B,3,144,23:50,-3.5165122580645187
3,B,4,1,00:00,0.0
3,B,4,2,00:10,0.0
3,B,4,3,00:20,0.0
3,B,4,4,00:30,0.0
3,B,4,5,00:40,0.0
3,B,4,6,00:50,0.0
3,B,4,7,01:00,0.0
3,B,4,8,01:10,0.0
3,B,4,9,01:20,0.0
3,B,4,10,01:30,0.0
3,B,4,11,01:40,0.0
3,B,4,12,01:50,0.0
3,B,4,13,02:00,0.0
3,B,4,14,02:10,0.0
3,B,4,15,02:20,0.0
3,B,4,16,02:30,0.0
3,B,4,17,02:40,0.0
3,B,4,18,02:50,0.0
3,B,4,19,03:00,0.0
3,B,4,20,03:10,0.0
3,B,4,21,03:20,0.0
3,B,4,22,03:30,0.0
3,B,4,23,03:40,0.0
3,B,4,24,03:50,0.0
3,B,4,25,04:00,0.0
3,B,4,26,04:10,0.0
3,B,4,27,04:20,0.0
3,B,4,28,04:30,0.0
3,B,4,29,04:40,0.0
3,B,4,30,04:50,0.0
3,B,4,31,05:00,0.0
3,B,4,32,05:10,0.0
3,B,4,33,05:20,0.0
3,B,4,34,05:30,0.0
3,B,4,35,05:40,0.0
3,B,4,36,05:50,0.0
3,B,4,37,06:00,6.493699400000001
3,B,4,38,06:10,3.906781466666667
3,B,4,39,06:20,7.882236533333335
3,B,4,40,06:30,42.56407213333333
3,B,4,41,06:40,172.2134528666667
3,B,4,42,06:50,172.76738026666663
3,B,4,43,07:00,182.16145713333336
3,B,4,44,07:10,163.8088109666667
3,B,4,45,07:20,156.2854427333333
3,B,4,46,07:30,313.02420373333337
3,B,4,47,07:40,42.446909633333334
3,B,4,48,07:50,0.0
3,B,4,49,08:00,0.0
3,B,4,50,08:10,0.0
3,B,4,51,08:20,0.0
3,B,4,52,08:30,0.0
3,B,4,53,08:40,0.0
3,B,4,54,08:50,0.0
3,B,4,55,09:00,0.0
3,B,4,56,09:10,0.0
3,B,4,57,09:20,0.0
3,B,4,58,09:30,0.0
3,B,4,59,09:40,0.0
3,B,4,60,09:50,0.0
3,B,4,61,10:00,0.0
3,B,4,62,10:10,0.0
3,B,4,63,10:20,0.0
3,B,4,64,10:30,0.0
3,B,4,65,10:40,0.0
3,B,4,66,10:50,0.0
3,B,4,67,11:00,-19.58945573333333
3,B,4,68,11:10,0.0
3,B,4,69,11:20,-3.502837933333334
3,B,4,70,11:30,-13.6839526
3,B,4,71,11:40,-5.407805899999994
3,B,4,72,11:50,17.16592176666667
3,B,4,73,12:00,17.220786099999994
3,B,4,74,12:10,-36.37821193333334
3,B,4,75,12:20,9.369881333333328
3,B,4,76,12:30,64.1797648
3,B,4,77,12:40,37.4429272
3,B,4,78,12:50,0.0
3,B,4,79,13:00,0.0
3,B,4,80,13:10,0.0
3,B,4,81,13:20,0.0
3,B,4,82,13:30,0.0
3,B,4,83,13:40,0.0
3,B,4,84,13:50,0.0
3,B,4,85,14:00,0.0
3,B,4,86,14:10,0.0
3,B,4,87,14:20,0.0
3,B,4,88,14:30,0.0
3,B,4,89,14:40,0.0
3,B,4,90,14:50,95.15288079999999
3,B,4,91,15:00,201.0458506333333
3,B,4,92,15:10,69.79237126666666
3,B,4,93,15:20,62.85279849999999
3,B,4,94,15:30,60.8244627
3,B,4,95,15:40,56.269360466666654
3,B,4,96,15:50,33.434412633333324
3,B,4,97,16:00,31.03240143333334
3,B,4,98,16:10,38.05794226666667
3,B,4,99,16:20,43.015048833333324
3,B,4,100,16:30,55.19912696666667
3,B,4,101,16:40,50.201655033333346
3,B,4,102,16:50,42.57213723333333
3,B,4,103,17:00,34.448699733333335
3,B,4,104,17:10,23.993242400000003
3,B,4,105,17:20,17.3870816
3,B,4,106,17:30,16.506393799999994
3,B,4,107,17:40,-4.2429731333333365
3,B,4,108,17:50,0.0
3,B,4,109,18:00,-76.5574642
3,B,4,110,18:10,-33.08598680000001
3,B,4,111,18:20,-47.51517023333334
3,B,4,112,18:30,-61.516206966666665
3,B,4,113,18:40,-62.390811633333335
3,B,4,114,18:50,0.0
3,B,4,115,19:00,0.0
3,B,4,116,19:10,0.0
3,B,4,117,19:20,0.0
3,B,4,118,19:30,0.0
3,B,4,119,19:40,0.0
3,B,4,120,19:50,0.0
3,B,4,121,20:00,0.0
3,B,4,122,20:10,0.0
3,B,4,123,20:20,0.0
3,B,4,124,20:30,0.0
3,B,4,125,20:40,-13.009359366666672
3,B,4,126,20:50,-28.122102199999997
3,B,4,127,21:00,-20.644493266666665
3,B,4,128,21:10,-32.64751116666666
3,B,4,129,21:20,-31.095702933333328
3,B,4,130,21:30,-69.38222156666664
3,B,4,131,21:40,-26.453336900000004
3,B,4,132,21:50,-70.32468219999997
3,B,4,133,22:00,-69.75872176666668
3,B,4,134,22:10,-18.37723723333333
3,B,4,135,22:20,-72.4888809
3,B,4,136,22:30,-75.34700276666666
3,B,4,137,22:40,-175.38753409999998
3,B,4,138,22:50,-96.06028639999998
3,B,4,139,23:00,-251.0988031999999
3,B,4,140,23:10,-106.62591509999999
3,B,4,141,23:20,-74.4818745
3,B,4,142,23:30,-68.9831733666667
3,B,4,143,23:40,-16.08551226666667
3,B,4,144,23:50,-11.76587523333333
3,B,5,1,00:00,0.0
3,B,5,2,00:10,0.0
3,B,5,3,00:20,0.0
