question,configuration,days,zero_days,mean_mwh,median_mwh,p95_mwh,max_mwh
3,A,334,186,0.18423084148502997,0.0,1.0183529214499978,6.486394935
3,B,334,110,0.5583580899071856,0.1836603945,2.241849102399996,7.179985601
3,C,334,51,0.834637845461078,0.5224747359999999,2.6007246848,6.938404840000001
4-3,A,334,182,0.1763254983742515,0.0,1.0596037788499981,4.922693254
4-3,B,334,128,0.4998393162634731,0.12450824400000002,2.1465135370999993,6.376512839000001
4-3,C,334,67,0.7736507681886227,0.460690524,2.5446769570999948,6.333065716
