configuration,new_update_hour,savings_10k_yuan
A,6,-112.52678800000027
A,12,25.76834900000021
A,18,4.721353999999911
B,6,-25.19037000000011
B,12,8.003779000000097
B,18,3.9890109999999406
C,6,-14.30065700000003
C,12,37.601943999999946
C,18,73.14365600000005
