date,mode,pool_size,k_eff
2025-06-18,kernel,48,8.961668654
2025-06-19,kernel,49,10.29057588
2025-06-20,kernel,50,4.59040168
2025-06-21,kernel,51,6.289809214
2025-06-22,kernel,52,15.81461102
2025-06-23,kernel,53,16.58161963
2025-06-24,kernel,54,17.97101165
2025-06-25,kernel,55,16.742108
2025-06-26,kernel,56,17.28494061
2025-06-27,kernel,57,6.979637182
2025-06-28,kernel,58,8.966843678
2025-06-29,kernel,59,21.38748108
2025-06-30,kernel,60,21.55507654
2025-07-01,kernel,30,17.47440141
2025-07-02,kernel,31,17.19612015
2025-07-03,kernel,32,11.37361799
2025-07-04,kernel,33,4.312498787
2025-07-05,kernel,34,1.345299086
2025-07-06,kernel,35,7.442672084
2025-07-07,kernel,36,5.470446715
2025-07-08,kernel,37,5.45335971
2025-07-09,kernel,38,7.246832438
2025-07-10,kernel,39,5.894349822
2025-07-11,kernel,40,3.222411343
2025-07-12,kernel,41,4.381842238
2025-07-13,kernel,42,10.40251571
2025-07-14,kernel,43,11.18545604
2025-07-15,kernel,44,9.435223752
2025-07-16,kernel,45,9.987405227
2025-07-17,kernel,46,12.10094137
2025-07-18,kernel,47,5.586926197
2025-07-19,kernel,48,7.388049847
2025-07-20,kernel,49,18.93455089
2025-07-21,kernel,50,19.03624496
2025-07-22,kernel,51,18.44679759
2025-07-23,kernel,52,20.1796147
2025-07-24,kernel,53,21.8579986
2025-07-25,kernel,54,8.447437655
2025-07-26,kernel,55,9.354923412
2025-07-27,kernel,56,22.92256109
2025-07-28,kernel,57,24.10940428
2025-07-29,kernel,58,28.56315304
2025-07-30,kernel,59,30.96095919
2025-07-31,kernel,60,31.75668838
2025-08-01,kernel,31,7.39031082
2025-08-02,kernel,32,8.693675194
2025-08-03,kernel,33,12.61058149
2025-08-04,kernel,34,4.634143534
2025-08-05,kernel,35,1.301220951
2025-08-06,kernel,36,1.519479084
2025-08-07,kernel,37,2.30873827
2025-08-08,kernel,38,6.241651803
