date,plan_kwh,plan_cost_yuan,emergency_kwh,emergency_cost_yuan
2025-03-20,70659.3527,54644.62768,0,0
2025-06-21,44844.35732,33288.6709,0,0
2025-09-23,67970.59733,53225.98986,0,0
2025-12-21,90849.75021,71365.263,0,0
