date,es_equal,es_legacy,es_revised,pool_size,k_eff_legacy,k_eff_revised,improvement_revised_vs_equal_pct,improvement_revised_vs_legacy_pct,improvement_legacy_vs_equal_pct
2025-03-20,653.4157351,634.4993095,324.4374222,47,15.2049874,10.57598827,50.34747332,48.8671749,2.895006128
2025-03-21,3365.091391,2961.464681,856.0905327,48,16.04492943,5.238436554,74.55966471,71.09232677,11.99452447
2025-03-22,2812.419539,1922.788734,425.0430093,49,11.49417538,5.285325293,84.88692731,77.89445081,31.63222246
2025-03-23,836.3996778,905.781331,585.1414532,50,10.42127912,11.46652717,30.04044971,35.39925884,-8.295274983
2025-03-24,791.8549613,802.2084508,465.1206445,51,11.43062449,10.39712578,41.2618892,42.01997697,-1.307498214
2025-03-25,723.7857591,1083.444413,418.3780321,52,12.59706806,11.92500096,42.19587401,61.38444881,-49.69131401
2025-03-26,904.2973306,846.3499801,651.9486174,53,17.16128252,12.42782022,27.90550239,22.96938232,6.407997516
2025-03-27,747.3448559,692.7910272,399.4698198,54,18.06084268,12.12547662,46.54812747,42.33905982,7.299686126
2025-03-28,3270.300238,2799.344625,590.1368198,55,19.04755299,4.969938677,81.9546593,78.91875067,14.40099009
2025-03-29,3544.776982,2644.23652,755.9023523,56,13.4502469,5.339265195,78.67560199,71.41320957,25.40471423
2025-03-30,859.8858721,941.2417417,499.8709723,57,12.31773152,11.02572251,41.86775379,46.89239223,-9.461240399
2025-03-31,812.61064,727.1930232,499.8183362,58,13.33689022,10.82115499,38.49227273,31.26744616,10.51150607
2025-04-01,759.9258482,1315.114705,650.4313835,31,9.424682827,7.341170392,14.40857223,50.54185153,-73.05829356
2025-04-02,761.7704645,920.8356204,589.0398636,32,12.25864499,9.750549763,22.67488817,36.03202889,-20.8809823
2025-04-03,666.5700022,689.5415998,459.3927318,33,11.87756335,12.27766174,31.08109721,33.37708241,-3.446239339
2025-04-04,3147.104506,3170.074329,582.2354237,34,12.1521872,4.286410212,81.49932985,81.63338258,-0.7298716253
2025-04-05,2465.400337,1957.366125,582.7719003,35,9.121059811,4.355751464,76.36197693,70.22673005,20.60656048
2025-04-06,675.5818128,660.9581247,427.1958058,36,10.18478478,10.45036939,36.7662365,35.36719048,2.16460653
2025-04-07,784.2233397,729.281378,614.1415649,37,9.841630294,11.10620389,21.68792564,15.78811918,7.005907489
2025-04-08,714.7622656,1198.542923,487.8824028,38,9.6009803,12.20196721,31.74200342,59.29370627,-67.68413512
2025-04-09,644.1960602,804.8991797,445.9062042,39,12.84935792,11.92240697,30.78097932,44.60098664,-24.94630586
2025-04-10,705.6543464,745.165226,500.2604847,40,13.53415578,13.82778324,29.10686552,32.86583066,-5.599183205
2025-04-11,3109.100699,2911.280069,542.7655679,41,14.30572432,5.009107972,82.5426829,81.35646331,6.362631809
2025-04-12,2629.484159,1904.147399,589.2574838,42,10.32564658,5.9599323,77.59037712,69.05399844,27.58475487
2025-04-13,660.3191418,528.7275412,392.76386,43,10.27488757,12.91884895,40.51908613,25.71526365,19.92848491
2025-04-14,694.0340414,569.4524487,463.3184111,44,10.91503781,13.90007048,33.24269655,18.63791048,17.95035766
2025-04-15,819.3617676,1150.110725,685.8365586,45,11.18311404,15.16440463,16.29624597,40.36777993,-40.36665739
2025-04-16,638.8434991,770.6892224,385.4256663,46,15.22083683,14.90799833,39.66821813,49.98948277,-20.63818815
2025-04-17,636.3537041,690.6287689,385.0800618,47,16.07485731,15.69216909,39.48647437,44.24210529,-8.529071875
2025-04-18,2828.332527,2583.638462,411.1542106,48,16.99205997,5.85795054,85.46301728,84.08623278,8.651530985
2025-04-19,2686.820818,1859.749306,376.3585854,49,12.05041208,7.14500976,85.99241963,79.76293987,30.78253326
2025-04-20,686.1224692,512.7412507,427.3498598,50,11.68169873,16.61966485,37.71522155,16.65389527,25.26971878
