date,pool_size,oldest_gap_days,month_span,same_weekday_in_pool,lag7_rank,lag7_rank_share,lag7_daily_net_gap_kwh
2025-05-18,47,47,1,True,17,0.3617021277,1807.910983
2025-05-19,48,48,1,True,10,0.2083333333,4415.978683
2025-05-20,49,49,1,True,13,0.2653061224,1398.18205
2025-05-21,50,50,1,True,12,0.24,1651.5335
2025-05-22,51,51,1,True,10,0.1960784314,1948.427467
2025-05-23,52,52,1,True,8,0.1538461538,3705.44235
2025-05-24,53,53,1,True,12,0.2264150943,6694.2977
2025-05-25,54,54,1,True,23,0.4259259259,5131.157917
2025-05-26,55,55,1,True,37,0.6727272727,7064.6164
2025-05-27,56,56,1,True,29,0.5178571429,5137.027517
2025-05-28,57,57,1,True,12,0.2105263158,911.2088167
2025-05-29,58,58,1,True,30,0.5172413793,3293.492683
2025-05-30,59,59,1,True,2,0.03389830508,175.2843833
2025-05-31,60,60,1,True,13,0.2166666667,4634.680167
2025-06-01,31,31,0,True,20,0.6451612903,22679.81612
2025-06-02,32,32,1,True,6,0.1875,14060.9745
2025-06-03,33,33,1,True,21,0.6363636364,18801.99953
2025-06-04,34,34,1,True,16,0.4705882353,17371.43672
2025-06-05,35,35,1,True,11,0.3142857143,17039.19452
2025-06-06,36,36,1,True,26,0.7222222222,24258.76213
2025-06-07,37,37,1,True,21,0.5675675676,22737.33162
2025-06-08,38,38,1,True,5,0.1315789474,6039.903033
2025-06-09,39,39,1,True,4,0.1025641026,2291.905283
2025-06-10,40,40,1,True,6,0.15,3426.0774
2025-06-11,41,41,1,True,5,0.1219512195,6439.1855
2025-06-12,42,42,1,True,3,0.07142857143,1303.073417
2025-06-13,43,43,1,True,1,0.02325581395,2509.6817
2025-06-14,44,44,1,True,3,0.06818181818,4933.170417
2025-06-15,45,45,1,True,9,0.2,5442.051067
2025-06-16,46,46,1,True,5,0.1086956522,1761.340083
2025-06-17,47,47,1,True,4,0.08510638298,3018.566983
2025-06-18,48,48,1,True,12,0.25,5156.055417
2025-06-19,49,49,1,True,11,0.2244897959,4192.887233
2025-06-20,50,50,1,True,2,0.04,5944.73285
2025-06-21,51,51,1,True,3,0.05882352941,6858.60235
2025-06-22,52,52,1,True,6,0.1153846154,3169.633233
2025-06-23,53,53,1,True,14,0.2641509434,5632.766817
2025-06-24,54,54,1,True,2,0.03703703704,1631.781033
2025-06-25,55,55,1,True,2,0.03636363636,490.9695333
2025-06-26,56,56,1,True,4,0.07142857143,712.1203667
2025-06-27,57,57,1,True,2,0.0350877193,2628.934983
2025-06-28,58,58,1,True,3,0.05172413793,2442.185717
2025-06-29,59,59,1,True,10,0.1694915254,1810.427433
2025-06-30,60,60,1,True,17,0.2833333333,2816.397983
2025-07-01,30,30,0,True,1,0.03333333333,2597.751783
2025-07-02,31,31,1,True,10,0.3225806452,2467.345
2025-07-03,32,32,1,True,21,0.65625,12213.0351
2025-07-04,33,33,1,True,7,0.2121212121,9109.2216
2025-07-05,34,34,1,True,7,0.2058823529,7013.15385
2025-07-06,35,35,1,True,18,0.5142857143,10526.21302
2025-07-07,36,36,1,True,14,0.3888888889,3531.798783
2025-07-08,37,37,1,True,8,0.2162162162,3295.157017
