date,es_equal,es_legacy,es_revised,pool_size,k_eff_legacy,k_eff_revised,improvement_revised_vs_equal_pct,improvement_revised_vs_legacy_pct,improvement_legacy_vs_equal_pct
2025-03-20,653.4157351,634.4993095,325.7842749,47,15.2049874,11.02660819,50.14134839,48.65490474,2.895006128
2025-03-21,3365.091391,2961.464681,859.1343085,48,16.04492943,5.408683269,74.4692132,70.98954736,11.99452447
2025-03-22,2812.419539,1922.788734,423.9429529,49,11.49417538,5.464399963,84.92604154,77.95166232,31.63222246
2025-03-23,836.3996778,905.781331,591.54078,50,10.42127912,11.90450551,29.27534578,34.69276085,-8.295274983
2025-03-24,791.8549613,802.2084508,471.2456664,51,11.43062449,10.82467826,40.48838621,41.25645698,-1.307498214
2025-03-25,723.7857591,1083.444413,420.2420634,52,12.59706806,12.38108594,41.93833492,61.21240202,-49.69131401
2025-03-26,904.2973306,846.3499801,659.2463564,53,17.16128252,12.88556861,27.09849581,22.10712213,6.407997516
2025-03-27,747.3448559,692.7910272,402.1645055,54,18.06084268,12.58815289,46.18755956,41.95009899,7.299686126
2025-03-28,3270.300238,2799.344625,596.9721466,55,19.04755299,5.170440917,81.74564709,78.67457471,14.40099009
2025-03-29,3544.776982,2644.23652,763.1104894,56,13.4502469,5.522490021,78.4722567,71.14061152,25.40471423
2025-03-30,859.8858721,941.2417417,506.8207777,57,12.31773152,11.42360066,41.05952963,46.15402662,-9.461240399
2025-03-31,812.61064,727.1930232,500.5101912,58,13.33689022,11.21560788,38.40713295,31.17230568,10.51150607
2025-04-01,759.9258482,1315.114705,646.865007,31,9.424682827,7.574699714,14.87787808,50.81303521,-73.05829356
2025-04-02,761.7704645,920.8356204,586.8251856,32,12.25864499,9.955227906,22.9656159,36.27253632,-20.8809823
2025-04-03,666.5700022,689.5415998,460.8431945,33,11.87756335,12.53059098,30.86349626,33.16673068,-3.446239339
2025-04-04,3147.104506,3170.074329,585.9214088,34,12.1521872,4.373110871,81.38220679,81.51710818,-0.7298716253
2025-04-05,2465.400337,1957.366125,576.1937149,35,9.121059811,4.442887292,76.6287971,70.56280338,20.60656048
2025-04-06,675.5818128,660.9581247,428.0732189,36,10.18478478,10.68685242,36.63636131,35.23444181,2.16460653
2025-04-07,784.2233397,729.281378,617.0430439,37,9.841630294,11.36356786,21.31794443,15.39026465,7.005907489
2025-04-08,714.7622656,1198.542923,488.1496617,38,9.6009803,12.46732365,31.70461211,59.27140761,-67.68413512
2025-04-09,644.1960602,804.8991797,444.402393,39,12.84935792,12.20812502,31.0144193,44.78781887,-24.94630586
2025-04-10,705.6543464,745.165226,500.7383439,40,13.53415578,14.09104102,29.03914694,32.80170272,-5.599183205
2025-04-11,3109.100699,2911.280069,544.681289,41,14.30572432,5.118456781,82.48106634,81.29065991,6.362631809
2025-04-12,2629.484159,1904.147399,588.3500943,42,10.32564658,6.033245976,77.62488539,69.10165177,27.58475487
2025-04-13,660.3191418,528.7275412,393.2324863,43,10.27488757,13.18584219,40.44811646,25.6266308,19.92848491
2025-04-14,694.0340414,569.4524487,465.9496914,44,10.91503781,14.17348927,32.86356813,18.17583848,17.95035766
2025-04-15,819.3617676,1150.110725,688.9945266,45,11.18311404,15.44869139,15.91082794,40.09320046,-40.36665739
2025-04-16,638.8434991,770.6892224,385.666661,46,15.22083683,15.22324384,39.63049454,49.95821275,-20.63818815
2025-04-17,636.3537041,690.6287689,386.5923719,47,16.07485731,16.00888402,39.24882193,44.02312945,-8.529071875
2025-04-18,2828.332527,2583.638462,411.8806881,48,16.99205997,5.981744463,85.43733157,84.05811439,8.651530985
2025-04-19,2686.820818,1859.749306,375.3422307,49,12.05041208,7.247524031,86.03024704,79.81758996,30.78253326
2025-04-20,686.1224692,512.7412507,429.0954354,50,11.68169873,16.93195549,37.46080989,16.31345542,25.26971878
2025-04-21,836.9074749,839.8886885,709.4157869,51,12.51560118,17.45809319,15.23366583,15.53454683,-0.3562178314
2025-04-22,680.6952456,1095.146367,415.6408713,52,13.05330447,16.72425554,38.93877268,62.0470027,-60.88644288
2025-04-23,707.744788,813.4383284,450.6426114,53,17.91557362,17.98367065,36.3269615,44.60027323,-14.93384934
2025-04-24,839.5215033,853.0444157,697.1410582,54,18.82450459,17.96141731,16.9597139,18.27611255,-1.61078809
2025-04-25,3115.958153,2770.282095,628.967631,55,19.80232831,6.500087882,79.81463164,77.2958995,11.09373236
2025-04-26,3301.358476,2452.501604,932.6837181,56,13.97482284,6.368485569,71.74848703,61.97010772,25.7123508
2025-04-27,774.2911411,687.2749545,541.7763262,57,13.48018442,14.8973089,30.02937818,21.17036673,11.23817412
2025-04-28,846.293408,666.2102096,719.3376087,58,14.36498442,15.47602562,15.00139291,-7.974569951,21.27905012
2025-04-29,793.9569183,1042.248863,599.512563,59,14.96235817,20.7435446,24.49054235,42.47894298,-31.27272266
2025-04-30,822.7934096,867.9889155,636.3382824,60,20.87224716,21.69250819,22.66123246,26.68820177,-5.492934844
2025-05-01,756.4356225,886.2318673,591.8621994,30,13.15326601,9.46355995,21.75643481,33.21587485,-17.15892813
2025-05-02,1857.358664,1865.854916,1248.362524,31,12.71607543,2.498491897,32.78828972,33.09434118,-0.4574373265
