lag_days,corr
1,0.3847150798
2,-0.2141482046
3,-0.2148552779
4,-0.2145332862
5,-0.2141810934
6,0.3785105132
7,0.9721740756
8,0.373493034
9,-0.2250365048
10,-0.2258847298
11,-0.2255866556
12,-0.2247355189
13,0.3671346706
14,0.9599996126
