stage,feature,date,es_before,es_after,relative_improvement_pct
structural,season,2025-05-03,2145.176597,2136.486123,0.4051169234
structural,season,2025-05-04,857.294621,862.9754638,-0.6626476637
structural,season,2025-05-05,812.9973319,818.8859656,-0.7243115664
structural,season,2025-05-06,767.4973955,768.752955,-0.1635913581
structural,season,2025-05-07,703.2823917,703.6511487,-0.05243370617
structural,season,2025-05-08,836.4149309,835.9305663,0.05790960279
structural,season,2025-05-09,2166.85987,2170.36084,-0.161568807
structural,season,2025-05-10,1907.454928,1899.704832,0.406305565
structural,season,2025-05-11,846.2388803,850.599781,-0.5153273877
structural,season,2025-05-12,889.4901457,888.9299109,0.06298381237
structural,season,2025-05-13,684.6153185,684.3191758,0.04325679315
structural,season,2025-05-14,681.8659478,679.5290486,0.3427211976
structural,season,2025-05-15,665.4744087,663.2941907,0.327618599
structural,season,2025-05-16,2708.515531,2710.431927,-0.07075447503
structural,season,2025-05-17,2103.432148,2094.858679,0.4075942726
structural,season,2025-05-18,847.7782154,847.7547659,0.002765994347
structural,season,2025-05-19,727.55128,726.7853254,0.1052784391
structural,season,2025-05-20,865.8582329,863.2734788,0.2985193236
structural,season,2025-05-21,765.1998086,763.83157,0.1788080099
structural,season,2025-05-22,609.3165665,605.9181121,0.5577485743
structural,season,2025-05-23,2322.649415,2319.574182,0.1324019486
structural,season,2025-05-24,2504.444364,2497.607887,0.2729737983
structural,season,2025-05-25,673.8042356,672.0329534,0.2628778635
structural,season,2025-05-26,894.9514553,895.9796751,-0.1148911287
structural,season,2025-05-27,690.1965302,686.8691071,0.4820979112
structural,season,2025-05-28,840.7919361,839.6691717,0.1335365339
structural,season,2025-05-29,763.109849,762.7573092,0.04619778032
structural,season,2025-05-30,2265.310566,2262.428449,0.1272283205
structural,season,2025-05-31,2118.072489,2110.320866,0.3659753374
structural,season,2025-06-01,2201.992515,2201.992515,0
structural,season,2025-06-02,1830.963352,1820.140798,0.5910852045
structural,season,2025-06-03,1578.386478,1557.76896,1.306240147
structural,season,2025-06-04,1675.657414,1645.363676,1.807871829
structural,season,2025-06-05,1704.224028,1665.2316,2.287987201
structural,season,2025-06-06,1306.152454,1320.265594,-1.080512431
structural,season,2025-06-07,1235.45323,1243.486444,-0.650224067
structural,season,2025-06-08,1309.406544,1281.190078,2.154904945
structural,season,2025-06-09,1631.602907,1590.534146,2.517080649
structural,season,2025-06-10,1660.192781,1612.050857,2.899779145
structural,season,2025-06-11,2062.403563,2007.273477,2.673098841
structural,season,2025-06-12,1677.634807,1619.890986,3.441978004
structural,season,2025-06-13,1297.676111,1323.564832,-1.995006372
structural,season,2025-06-14,1484.158929,1506.240765,-1.487834983
structural,season,2025-06-15,1539.666512,1488.794154,3.304115364
structural,season,2025-06-16,1589.598797,1533.371764,3.537183937
structural,season,2025-06-17,1833.441975,1772.744355,3.310583077
structural,season,2025-06-18,1375.192878,1318.811894,4.099860072
structural,season,2025-06-19,1154.428505,1108.520845,3.976656756
structural,season,2025-06-20,1663.49736,1702.636762,-2.35283821
structural,season,2025-06-21,1840.611583,1884.204534,-2.368394923
structural,season,2025-06-22,1246.611265,1201.562923,3.613663964
structural,season,2025-06-23,1147.404074,1104.473989,3.741496663
structural,season,2025-06-24,1825.909432,1767.426179,3.202965727
structural,season,2025-06-25,1317.200459,1266.745102,3.830499493
structural,season,2025-06-26,1069.634181,1029.508899,3.751308902
structural,season,2025-06-27,1840.904231,1887.59667,-2.536386132
structural,season,2025-06-28,1732.434817,1770.792016,-2.214063049
structural,season,2025-06-29,1219.308657,1176.408159,3.51842807
structural,season,2025-06-30,1201.05605,1157.120017,3.658116751
structural,season,2025-07-01,1047.901867,1047.901867,0
structural,season,2025-07-02,1010.819917,1006.43862,0.4334399164
structural,season,2025-07-03,1044.382174,1034.571449,0.9393807413
structural,season,2025-07-04,2594.735209,2607.693848,-0.4994204683
structural,season,2025-07-05,2478.387982,2475.134292,0.131282536
structural,season,2025-07-06,1120.311382,1117.596879,0.242298935
structural,season,2025-07-07,942.1610354,933.2019119,0.9509121161
structural,season,2025-07-08,1133.845575,1120.910323,1.140830205
structural,season,2025-07-09,888.7372418,875.6292507,1.474900621
structural,season,2025-07-10,941.0082606,924.3573151,1.769479205
structural,season,2025-07-11,2143.145714,2147.765039,-0.2155394792
structural,season,2025-07-12,2166.29028,2159.335021,0.3210677405
structural,season,2025-07-13,1088.054718,1071.849517,1.48937367
structural,season,2025-07-14,882.0159944,866.6291878,1.744504271
structural,season,2025-07-15,888.7113137,878.8653077,1.107896996
structural,season,2025-07-16,913.978101,898.1978543,1.726545387
structural,season,2025-07-17,886.4318441,868.4077549,2.033330512
structural,season,2025-07-18,2070.806209,2069.431082,0.06640536913
structural,season,2025-07-19,2419.907726,2408.093044,0.4882286116
structural,season,2025-07-20,784.4410236,773.5180441,1.392453887
structural,season,2025-07-21,819.3584178,808.8471644,1.282863908
structural,season,2025-07-22,809.1361822,798.4828281,1.316633013
structural,season,2025-07-23,828.2053319,814.2373771,1.686532827
structural,season,2025-07-24,827.197117,815.8711144,1.369202378
structural,season,2025-07-25,2439.283894,2434.529675,0.1949022344
structural,season,2025-07-26,2234.3396,2225.900245,0.3777113761
structural,season,2025-07-27,822.3476539,811.9942642,1.259003978
structural,season,2025-07-28,909.5252773,908.320792,0.132430103
structural,season,2025-07-29,825.7220372,823.9554913,0.2139395404
structural,season,2025-07-30,817.5014886,806.4327518,1.353971462
structural,season,2025-07-31,708.0986875,700.6078619,1.057878758
structural,season,2025-08-01,2923.636776,2923.636776,0
structural,season,2025-08-02,2788.903693,2767.821439,0.7559333945
structural,season,2025-08-03,959.771331,961.6932903,-0.200251787
structural,season,2025-08-04,743.504768,745.6792604,-0.2924651553
structural,season,2025-08-05,741.7894812,740.7728195,0.1370552849
structural,season,2025-08-06,757.3673151,759.8435779,-0.3269566535
structural,season,2025-08-07,829.2999277,820.8969372,1.013263148
structural,season,2025-08-08,3282.190037,3256.494174,0.782887712
structural,season,2025-08-09,2803.420152,2766.269582,1.325187375
structural,season,2025-08-10,751.4207386,754.0435212,-0.3490431535
structural,season,2025-08-11,793.6648655,791.3807835,0.2877892385
structural,season,2025-08-12,668.4267811,673.1444624,-0.7057887907
structural,season,2025-08-13,675.5765913,675.8339711,-0.0380977981
structural,season,2025-08-14,766.3072528,761.8487313,0.5818190382
structural,season,2025-08-15,2996.247014,2962.384919,1.130150319
structural,season,2025-08-16,2901.681887,2859.794372,1.443559841
structural,season,2025-08-17,832.1586194,826.0150999,0.7382630393
structural,season,2025-08-18,811.3915824,807.2528578,0.5100773384
structural,season,2025-08-19,668.0533166,663.1293692,0.7370590366
structural,season,2025-08-20,789.2326079,802.2192424,-1.645476174
structural,season,2025-08-21,653.8178172,653.9289614,-0.01699926272
structural,season,2025-08-22,2517.16791,2485.274821,1.267022691
structural,season,2025-08-23,2288.411292,2255.741112,1.427635855
structural,season,2025-08-24,888.261902,882.5771602,0.6399848709
structural,season,2025-08-25,786.5651479,802.781453,-2.061660773
structural,season,2025-08-26,716.0089794,714.3797438,0.2275440267
structural,season,2025-08-27,748.4234047,752.4190095,-0.5338695608
structural,season,2025-08-28,912.2892763,926.3594547,-1.542293521
structural,season,2025-08-29,2327.00194,2298.37918,1.230027346
structural,season,2025-08-30,2675.963541,2639.509565,1.362274764
structural,season,2025-08-31,719.9107774,724.1233427,-0.585151018
structural,season,2025-09-01,953.7854338,953.7854338,0
structural,season,2025-09-02,940.0376765,935.6390316,0.4679221869
structural,season,2025-09-03,834.9015652,827.2542933,0.9159489291
structural,season,2025-09-04,878.2592829,868.3125082,1.132555598
structural,season,2025-09-05,2909.835037,2921.238909,-0.3919078807
structural,season,2025-09-06,2812.954075,2806.762184,0.2201205834
structural,season,2025-09-07,909.1913708,901.8172941,0.8110588148
structural,season,2025-09-08,1000.504151,994.6560632,0.5845141077
structural,season,2025-09-09,856.7439736,846.140498,1.23764811
structural,season,2025-09-10,1109.431861,1099.844041,0.8642099319
structural,season,2025-09-11,874.8037642,859.5807211,1.74016662
structural,season,2025-09-12,2436.045454,2432.473675,0.1466220234
structural,season,2025-09-13,2640.592574,2628.262359,0.4669487775
structural,season,2025-09-14,1002.839559,995.2996679,0.7518541861
structural,season,2025-09-15,932.9617391,921.1321066,1.267965458
structural,season,2025-09-16,856.3987207,846.5097349,1.154717491
structural,season,2025-09-17,982.7902769,969.0942955,1.393581288
structural,season,2025-09-18,891.6874752,875.7412552,1.788319381
structural,season,2025-09-19,2097.934251,2089.866918,0.3845369927
structural,season,2025-09-20,2097.369991,2083.007782,0.6847723198
structural,season,2025-09-21,886.5916433,875.2837495,1.275434282
structural,season,2025-09-22,904.2151966,892.1617722,1.333026082
structural,season,2025-09-23,1033.119014,1020.169313,1.253456875
structural,season,2025-09-24,972.1215962,956.1739746,1.640496589
structural,season,2025-09-25,870.5510201,854.352981,1.860665114
structural,season,2025-09-26,2027.659121,2017.797121,0.486373659
structural,season,2025-09-27,1968.869854,1959.810427,0.4601333748
structural,season,2025-09-28,1128.2677,1115.201347,1.158089831
structural,season,2025-09-29,1005.527721,990.7191846,1.472712935
structural,season,2025-09-30,1223.845816,1209.603414,1.163741476
structural,season,2025-10-01,832.0966552,832.0966552,0
structural,season,2025-10-02,684.4010254,681.7320699,0.389969527
structural,season,2025-10-03,2598.658855,2604.095094,-0.2091939961
structural,season,2025-10-04,2086.628613,2076.063268,0.5063356661
structural,season,2025-10-05,669.4619288,674.1221489,-0.6961142903
structural,season,2025-10-06,700.5800227,706.1555463,-0.7958439344
structural,season,2025-10-07,733.6009447,735.4696961,-0.2547367822
structural,season,2025-10-08,716.4533348,714.2997242,0.3005932829
structural,season,2025-10-09,719.8564428,714.2499678,0.7788323691
structural,season,2025-10-10,2501.93975,2499.676566,0.09045717914
structural,season,2025-10-11,2010.532151,1999.541639,0.5466469056
structural,season,2025-10-12,776.8079181,780.5188657,-0.4777175414
structural,season,2025-10-13,710.5991533,709.8357746,0.107427465
structural,season,2025-10-14,880.7347929,879.7267629,0.1144533019
structural,season,2025-10-15,938.308172,937.4120344,0.09550568256
structural,season,2025-10-16,1056.880169,1052.853473,0.3809983669
structural,season,2025-10-17,1957.335874,1956.265685,0.05467578
structural,season,2025-10-18,1908.422944,1901.105771,0.383414611
structural,season,2025-10-19,1141.120666,1140.819306,0.02640916767
structural,season,2025-10-20,1148.95815,1146.481724,0.2155367019
structural,season,2025-10-21,1302.646004,1297.931119,0.3619467891
structural,season,2025-10-22,1222.812814,1214.788679,0.6562030223
structural,season,2025-10-23,1021.90652,1011.05056,1.062324243
structural,season,2025-10-24,1843.221052,1842.466066,0.04096011697
structural,season,2025-10-25,1751.894935,1747.601198,0.2450910144
structural,season,2025-10-26,1065.683286,1057.480526,0.7697183678
structural,season,2025-10-27,1091.499166,1082.13766,0.8576740719
structural,season,2025-10-28,1182.401254,1169.820058,1.064037783
structural,season,2025-10-29,1470.140607,1456.901914,0.900505208
structural,season,2025-10-30,1035.722546,1020.385573,1.480799325
structural,season,2025-10-31,1641.608264,1641.789931,-0.01106641533
structural,season,2025-11-01,1648.321815,1648.321815,0
structural,season,2025-11-02,1184.291649,1191.040774,-0.5698870297
structural,season,2025-11-03,1242.193479,1240.875833,0.1060741272
structural,season,2025-11-04,987.7254,981.5777714,0.6224026015
structural,season,2025-11-05,1130.305891,1116.727913,1.201265807
structural,season,2025-11-06,1312.893815,1293.702351,1.461768192
structural,season,2025-11-07,1800.107122,1817.151746,-0.9468672098
structural,season,2025-11-08,1659.157588,1665.846011,-0.403121621
structural,season,2025-11-09,1283.386508,1268.685278,1.145502924
structural,season,2025-11-10,1482.375976,1460.650502,1.465584584
structural,season,2025-11-11,1176.328524,1151.976,2.070214559
structural,season,2025-11-12,1118.689959,1092.357721,2.35384591
