lag_days,corr
1,0.8770830489
2,0.8704635727
3,0.8679908395
4,0.8616055368
5,0.8567362898
6,0.8537814566
7,0.8403628169
8,0.83447933
9,0.8261014107
10,0.8157844951
11,0.8067107969
12,0.7993671755
13,0.7813690616
14,0.7689684694
